ym,tmean,rh,precip,n_rh,n_precip,wmo_valid,days_expected,n_reconstructed,days_missing,year,month,frac_reconstructed
2020-12-01,12.2,,114.3,24,31,True,31,7,0,2020,12,0.22580645161290322
2021-01-01,10.932258064516128,70.17037037037036,148.3,27,30,True,31,4,0,2021,1,0.12903225806451613
2021-02-01,,,,0,0,False,28,0,28,2021,2,0.0
2021-03-01,10.529032258064515,73.46551724137932,139.7,29,31,True,31,2,0,2021,3,0.06451612903225806
2021-04-01,10.370000000000001,63.38965517241379,39.199999999999996,29,30,True,30,1,0,2021,4,0.03333333333333333
2021-05-01,9.619354838709677,54.88387096774194,23.0,31,31,True,31,0,0,2021,5,0.0
2021-06-01,9.010344827586207,49.279310344827586,0.0,29,30,True,30,0,1,2021,6,0.0
2021-07-01,9.058064516129033,51.42258064516129,0.1,31,31,True,31,0,0,2021,7,0.0
2021-08-01,9.509677419354839,54.593548387096774,5.1,31,31,True,31,0,0,2021,8,0.0
2021-09-01,11.003333333333334,60.6448275862069,29.5,29,30,True,30,1,0,2021,9,0.03333333333333333
2021-10-01,12.667741935483871,55.276666666666664,36.1,30,31,True,31,1,0,2021,10,0.03225806451612903
2021-11-01,12.963333333333333,59.19642857142857,21.2,28,30,True,30,2,0,2021,11,0.06666666666666667
2021-12-01,11.353333333333333,,129.2,23,31,True,31,7,1,2021,12,0.22580645161290322
2022-01-01,11.280645161290321,70.30384615384615,211.0,26,31,True,31,5,0,2022,1,0.16129032258064516
2022-02-01,10.917857142857143,69.84,95.10000000000001,25,28,True,28,3,0,2022,2,0.10714285714285714
2022-03-01,10.98709677419355,68.78333333333333,117.8,30,30,True,31,1,0,2022,3,0.03225806451612903
2022-04-01,,,,0,0,False,30,0,30,2022,4,0.0
2022-05-01,,,,0,0,False,31,0,31,2022,5,0.0
2022-06-01,,,,0,0,False,30,0,30,2022,6,0.0
2022-07-01,,,,23,24,False,31,1,7,2022,7,0.03225806451612903
2022-08-01,9.758064516129032,62.96774193548387,6.4,31,31,True,31,0,0,2022,8,0.0
2022-09-01,11.103333333333333,64.56333333333333,0.0,30,29,True,30,0,0,2022,9,0.0
2022-10-01,,,,0,0,False,31,0,31,2022,10,0.0
2022-11-01,,,,0,0,False,30,0,30,2022,11,0.0
2022-12-01,,,,0,0,False,31,0,31,2022,12,0.0
2023-01-01,,,,0,0,False,31,0,31,2023,1,0.0
2023-02-01,,,,0,0,False,28,0,28,2023,2,0.0
2023-03-01,,,,0,0,False,31,0,31,2023,3,0.0
2023-04-01,,,,0,0,False,30,0,30,2023,4,0.0
2023-05-01,,,,0,0,False,31,0,31,2023,5,0.0
2023-06-01,,,,0,0,False,30,0,30,2023,6,0.0
2023-07-01,,,,0,0,False,31,0,31,2023,7,0.0
2023-08-01,10.226666666666667,47.282758620689656,5.1000000000000005,29,31,True,31,1,1,2023,8,0.03225806451612903
2023-09-01,12.646666666666667,51.11,0.0,30,30,True,30,0,0,2023,9,0.0
2023-10-01,14.081666666666667,,33.8,22,31,True,31,8,1,2023,10,0.25806451612903225
2023-11-01,13.975,,85.2,14,30,True,30,14,2,2023,11,0.4666666666666667
2023-12-01,13.432258064516128,,96.0,20,31,True,31,11,0,2023,12,0.3548387096774194
2024-01-01,,,,0,0,False,31,0,31,2024,1,0.0
2024-02-01,,,,0,0,False,29,0,29,2024,2,0.0
2024-03-01,12.126666666666667,78.92962962962963,110.0,27,31,True,31,3,1,2024,3,0.0967741935483871
2024-04-01,12.665,76.34074074074073,34.0,27,30,True,30,3,0,2024,4,0.1
2024-05-01,11.556666666666667,63.46551724137931,11.2,29,31,True,31,1,1,2024,5,0.03225806451612903
2024-06-01,9.45,56.690000000000005,0.0,30,30,True,30,0,0,2024,6,0.0
2024-07-01,9.419354838709678,54.91290322580645,0.0,31,31,True,31,0,0,2024,7,0.0
2024-08-01,10.922580645161291,61.619354838709675,0.0,31,31,True,31,0,0,2024,8,0.0
2024-09-01,12.854999999999999,69.93333333333334,20.0,27,30,True,30,3,0,2024,9,0.1
2024-10-01,13.188709677419356,59.784,20.9,25,31,True,31,6,0,2024,10,0.1935483870967742
2024-11-01,13.65,,91.5,23,30,True,30,7,0,2024,11,0.23333333333333334
2024-12-01,13.890322580645162,,36.1,20,31,True,31,11,0,2024,12,0.3548387096774194
